transaction_amount,user_avg_amount,new_recipient,transaction_frequency,transaction_hour,fraud_label
92839.36,7866.71,0,8,17,1
6059.95,15276.58,1,7,19,0
1563.42,1793.85,0,2,10,0
6628.71,8723.43,0,5,18,0
7200.2,6059.08,0,1,21,0
745.59,1757.08,1,9,9,0
11534.48,11635.91,0,2,1,0
62531.49,13330.82,0,2,16,0
3053.28,12668.42,1,3,20,0
5275.92,9094.45,1,3,23,0
39667.67,10568.63,0,5,0,0
2151.9,2166.59,0,4,17,0
3971.78,5009.28,0,6,21,0
4847.13,12982.0,1,4,23,0
2649.71,13020.13,0,2,21,0
22830.41,17719.59,0,2,16,0
5116.52,14459.83,0,5,2,0
19729.23,16841.18,0,2,13,0
16318.02,13838.53,0,2,21,0
9775.01,12315.93,0,10,22,0
3773.15,12492.58,0,2,4,0
4948.84,12685.41,1,5,12,0
3177.35,14069.07,0,2,16,0
41476.07,15710.42,1,8,4,0
651.15,4746.25,1,1,14,0
13792.4,14055.35,0,4,18,0
538.77,3148.87,0,3,12,0
22404.73,2610.52,0,1,11,0
2966.06,10206.0,1,1,20,0
11701.44,7501.61,0,3,12,0
5761.04,16086.5,0,2,13,0
10949.87,12317.3,0,9,22,0
61764.84,5614.04,1,2,14,1
12236.59,13196.22,0,2,16,0
2432.21,3512.75,0,3,20,0
792.89,10978.72,0,13,6,0
1264.86,1908.83,0,3,22,0
59212.06,17901.16,0,2,13,1
1872.76,9363.8,0,3,16,0
9318.26,13164.28,1,1,20,0
911.13,2537.71,1,3,11,0
7452.71,5297.52,0,1,19,0
9386.27,12943.08,0,1,22,0
102797.2,13818.92,0,3,20,1
15160.67,10576.4,0,7,14,0
18767.9,5588.36,0,4,1,0
34362.54,16066.62,0,3,7,0
6226.09,5785.93,0,3,21,0
27431.87,13821.07,0,4,15,0
4385.3,2980.57,1,13,6,0
12435.75,14117.01,0,7,6,0
14467.81,10935.39,1,3,11,0
8552.8,8808.0,0,3,20,0
17368.54,16521.58,0,2,4,0
1218.44,6257.27,1,1,7,0
2682.98,8859.52,0,2,17,0
2106.0,1914.97,0,2,8,0
1883.97,16414.9,1,1,20,0
14282.18,12959.79,1,3,12,0
36533.67,17341.35,0,10,8,0
34348.49,11758.29,1,4,10,1
9218.39,13757.23,0,2,0,0
14620.08,12646.75,0,3,20,0
9228.85,8512.16,0,4,14,0
37601.89,2804.61,0,3,18,0
8104.9,11270.71,1,4,21,0
4067.38,14072.14,0,8,2,0
40863.15,3345.44,0,2,12,0
33557.93,13132.97,0,2,4,1
4362.2,4282.64,0,1,18,0
3729.01,5568.58,1,6,21,0
2722.49,6108.76,0,2,7,0
1341.89,1590.77,0,13,11,0
16257.22,11542.13,1,1,10,0
1857.22,5534.32,0,4,20,0
223148.29,15409.97,0,3,16,0
56155.56,12212.77,0,7,12,0
5688.62,5845.15,1,2,20,0
10020.33,12097.16,0,4,11,0
938.76,4165.59,0,3,9,0
1281.74,5085.72,0,4,7,0
6812.87,8095.4,1,1,8,0
1110.29,3274.15,0,2,14,0
3494.91,3693.85,0,4,13,0
19191.57,11669.07,0,3,15,0
3823.16,6097.0,0,7,4,0
12380.91,10958.82,0,1,12,0
12126.3,13208.72,0,11,3,1
1732.97,6985.36,1,2,9,0
1510.25,7551.26,0,4,4,0
9092.47,10770.47,0,4,9,0
20188.64,17371.31,0,3,22,0
1356.88,13667.12,0,11,11,0
9976.32,13223.24,0,1,7,0
2053.27,2884.12,1,3,11,0
20493.98,14488.88,0,3,3,0
6258.32,8186.95,0,3,17,0
29290.85,12176.68,0,8,7,0
13815.3,13242.8,1,2,17,0
13379.69,13215.28,0,4,7,0
618.29,5144.5,0,4,10,0
2282.91,2602.26,1,3,8,0
1170.49,5852.47,1,2,11,0
5502.98,8603.29,0,2,20,0
2788.41,7186.57,1,1,21,0
4371.18,4613.74,0,3,21,0
3870.28,8240.53,0,4,16,0
4649.73,4515.43,0,10,23,0
18846.82,15747.62,1,4,21,0
23616.96,2312.69,0,9,23,1
9583.06,7590.43,0,4,23,0
4810.37,5883.51,0,2,15,0
161372.34,16270.87,1,13,7,1
6174.73,4969.94,0,5,13,0
16340.91,12382.53,1,2,21,0
92968.78,7632.43,0,6,18,0
1062.78,2969.19,0,2,3,0
1384.17,6005.53,0,2,18,0
6283.68,4326.31,1,2,20,0
11062.66,3053.89,0,2,18,0
6688.84,7530.8,1,3,19,0
1689.55,14087.9,1,2,13,0
100721.21,17709.05,0,3,20,1
10447.3,6182.01,0,3,20,0
3581.35,17906.75,1,1,9,0
18988.08,1694.85,1,4,9,0
163.57,2309.31,0,4,8,0
137605.34,11459.74,0,10,13,0
30376.73,2176.43,0,2,14,1
9139.54,13906.01,0,2,12,0
2372.96,16529.05,1,4,20,0
24089.4,15903.05,0,4,7,0
18671.88,16348.27,1,1,12,0
16233.2,10862.89,1,3,20,0
8284.31,6587.5,0,3,12,0
14567.94,12960.26,0,7,10,0
10183.34,8305.09,0,3,5,0
80892.05,16568.06,0,4,11,0
3940.22,8021.37,0,6,15,0
2148.0,3991.39,1,6,6,0
3016.46,2608.07,0,10,22,0
7235.48,5222.28,0,1,1,0
27806.97,8650.67,0,2,16,0
16144.28,16907.48,1,11,18,1
50913.7,13539.81,0,4,8,0
26889.8,7324.74,0,2,14,0
16090.29,10968.45,0,3,10,0
23301.28,5472.26,0,5,21,0
63316.96,16605.16,0,5,17,0
11401.4,8965.38,0,1,8,0
15933.35,14687.54,0,4,10,0
14441.82,14544.52,0,8,7,0
61787.21,7184.19,0,15,22,1
9562.51,10793.86,0,6,5,0
2911.19,6257.41,0,2,12,0
52716.95,17208.52,1,1,19,0
22336.75,7021.29,1,3,19,0
18186.09,3865.8,0,3,13,0
15290.59,8733.37,0,4,19,0
936.13,6101.21,1,5,13,0
284.53,2637.49,0,2,21,0
3627.8,14013.97,0,5,8,0
12496.62,7493.12,0,4,7,0
12292.61,13510.03,0,5,6,0
5950.34,6428.94,0,1,12,0
26090.7,10013.88,1,2,10,0
1847.68,3094.73,0,12,9,0
429.56,7828.61,1,12,21,0
10614.13,10003.51,0,3,5,0
9416.04,3990.18,0,3,12,0
1252.8,4119.35,0,2,13,0
153.12,2356.47,0,1,18,0
8156.53,13185.21,1,2,23,0
11148.79,17663.65,0,4,11,0
7629.52,9717.73,1,1,11,0
11271.38,9259.35,1,4,20,0
13811.17,14044.88,0,1,19,0
5586.23,14704.68,1,5,20,0
45725.23,6958.41,0,1,18,0
6173.05,9730.68,0,4,14,0
18308.51,13795.95,0,2,19,0
736.98,2045.48,1,4,1,0
10035.32,13349.47,1,4,13,0
10817.91,8019.4,0,1,10,0
12610.23,7966.51,0,4,9,0
18318.93,4155.63,0,2,13,0
761.16,11551.57,0,1,1,0
786.33,1964.88,1,4,0,0
18017.84,15781.02,1,5,22,1
9951.49,11724.68,0,2,20,0
7440.89,6217.76,1,3,21,0
10303.64,11200.11,0,6,12,0
15482.7,14617.95,1,10,20,0
4450.21,3512.49,1,2,13,0
14254.75,10490.71,1,3,9,1
2114.11,9885.18,1,3,21,0
2131.72,13174.89,0,3,13,0
90933.55,12632.54,1,1,15,0
16392.59,12511.84,1,9,18,0
17888.1,6340.69,1,2,12,0
13333.74,16446.75,0,4,19,0
13492.06,8636.87,0,1,19,0
156.06,2210.86,1,2,14,0
13053.1,9712.0,0,3,23,0
46739.95,14335.71,0,2,18,0
18180.41,15649.94,0,6,15,0
3443.21,2824.58,0,6,17,0
4028.8,7529.61,0,11,17,0
20699.23,17411.05,0,4,21,0
367.74,3049.98,0,2,15,0
1870.14,5700.03,0,10,7,0
5112.86,3836.82,0,1,14,0
9240.34,11077.0,0,1,7,0
7261.95,12262.8,0,6,8,0
3195.28,5547.92,0,2,19,0
41352.58,14357.95,1,3,10,0
6396.77,8345.81,0,2,22,0
6607.3,16212.13,0,9,20,0
16452.53,15042.14,1,5,8,0
2247.72,7486.83,0,1,17,0
11919.53,13117.96,1,1,20,0
6214.37,16446.05,0,4,1,0
4235.82,8528.52,0,3,18,0
36307.79,2487.1,0,3,5,0
3439.59,6148.06,1,5,16,1
5425.34,5622.13,1,2,21,0
16583.84,12309.87,1,2,8,1
2982.91,2476.17,1,3,17,0
11591.1,12313.66,0,2,9,0
188772.95,17519.6,0,1,20,0
51722.49,16275.83,0,3,16,0
55234.5,6103.17,0,4,10,0
6753.86,7763.26,0,2,5,0
152.53,2628.23,0,6,1,0
9107.51,8979.22,0,2,16,0
62625.53,11427.3,1,5,9,0
9490.4,8974.93,0,2,15,0
16366.2,14475.02,0,6,14,0
4175.48,9381.26,1,3,16,0
2421.21,12252.56,0,1,17,0
9354.5,2531.59,0,3,17,0
12869.22,14857.24,0,4,16,0
1055.04,3350.71,0,3,20,0
30775.97,8544.08,1,5,16,1
32073.83,6465.92,0,3,23,0
3417.81,11355.13,0,2,10,0
10742.82,11270.19,0,3,1,0
12003.32,12033.76,0,9,20,0
2891.73,2520.18,0,5,9,0
9996.27,12629.9,0,1,18,0
18341.78,6966.58,1,2,11,1
8251.14,12732.41,1,5,6,0
1386.19,2907.39,0,12,6,0
9479.11,8112.87,0,3,7,0
14748.28,16926.32,1,5,15,0
6457.35,2538.19,1,1,7,0
16641.35,10493.07,0,5,23,1
4084.74,4746.51,1,1,2,0
13395.48,16247.11,0,9,23,0
14505.45,9111.71,0,1,22,0
15743.98,11452.45,0,2,16,0
15817.1,16652.96,0,2,22,0
3742.16,10448.27,1,4,1,0
4309.17,7856.58,0,2,16,0
85030.35,12592.36,0,4,16,0
12797.24,15733.96,1,10,15,0
14476.79,12136.16,0,11,17,0
4539.55,4015.43,1,4,4,0
78162.07,5515.09,0,4,15,1
20281.18,4862.21,0,2,12,0
23664.16,17250.37,0,8,5,0
3510.51,15919.16,1,3,16,0
19621.81,16930.32,0,3,22,0
15909.82,13896.65,0,2,14,0
4998.36,2010.21,0,3,7,0
641.98,9841.27,0,1,8,0
34087.76,9707.57,1,2,9,0
24112.32,8120.87,0,10,22,0
10423.99,6692.35,0,1,18,1
7947.05,7466.37,1,2,12,0
5348.66,4749.75,0,4,3,0
42537.77,12619.27,0,4,13,1
2614.12,15026.07,1,2,13,0
3910.85,3530.21,1,3,12,0
9574.79,3560.52,0,2,22,0
7744.07,8139.12,1,8,3,1
7187.31,2146.63,0,12,11,0
6590.01,13556.69,1,3,1,0
2371.7,9154.71,1,2,10,0
41056.76,10323.76,1,2,19,0
7868.29,7351.82,1,3,20,0
3026.32,2511.52,0,1,18,0
5486.46,14417.15,0,2,13,0
22450.53,14236.72,0,3,19,0
4738.52,6207.65,1,1,14,0
7041.39,13256.94,0,8,15,0
11711.53,14575.8,0,1,14,0
1208.5,1920.78,1,4,20,0
11376.49,7947.9,1,8,4,0
28369.23,5978.75,0,9,10,1
5265.57,4477.15,0,3,20,0
8069.84,8560.4,1,3,23,1
2162.67,15335.03,0,2,18,0
1658.64,5503.32,0,13,18,0
16341.6,11808.25,0,2,15,0
16870.09,12844.31,0,6,7,0
6685.87,5919.95,0,6,10,0
2208.3,9639.54,1,3,19,0
3145.59,6919.06,0,1,10,0
270.5,2926.38,0,3,13,0
9618.18,16943.01,0,2,8,0
1740.59,1832.38,0,3,22,0
8216.48,13319.56,0,1,16,0
1476.66,6249.61,0,2,5,0
9856.76,6568.82,0,2,10,0
1886.41,1992.27,0,5,16,0
7417.51,9741.25,0,14,10,0
4230.46,3570.98,0,5,4,0
53700.03,3679.77,0,3,16,0
8979.02,8418.47,1,3,22,0
7622.9,7240.36,0,2,3,0
1211.63,3536.8,1,3,22,0
3163.84,2653.87,0,3,16,0
7978.02,7284.9,0,5,17,0
17840.36,13493.6,0,2,16,0
7132.1,6344.26,0,4,20,0
5296.97,4686.87,1,3,15,0
31113.69,17674.04,1,14,12,0
1869.17,5751.84,1,4,14,0
9679.5,6732.79,0,1,20,0
4477.44,5000.21,1,2,11,0
1611.04,14398.99,0,2,21,0
4352.69,11136.36,1,3,19,0
11370.68,8504.22,0,4,18,0
24428.2,6787.51,1,7,2,0
1740.72,2162.5,0,3,7,0
10682.59,13808.44,0,5,23,1
42869.83,9002.03,0,2,8,0
16651.11,14295.02,0,6,19,0
19578.18,15025.69,1,4,15,0
39813.66,9522.23,0,2,14,0
2952.17,3231.84,1,2,22,1
2357.14,10970.74,0,2,17,0
189060.71,17969.46,0,3,15,0
1239.37,3247.76,0,10,21,0
1633.84,2902.08,0,4,19,0
31889.86,2918.98,1,10,18,1
22945.84,7004.98,0,1,21,0
23921.87,5678.72,0,3,12,0
11498.86,9426.11,0,6,15,0
13082.5,12099.28,0,4,16,0
23232.89,17325.67,0,1,21,0
15438.05,12592.95,1,7,13,1
8839.53,6684.19,0,3,0,0
921.68,7936.03,0,2,15,0
1302.73,3787.8,0,1,21,0
4368.71,5168.99,1,2,20,0
21702.05,4561.15,0,8,14,0
1294.68,1649.05,1,1,3,1
4420.48,6436.6,0,3,18,1
166874.73,17864.83,0,4,17,0
12034.5,12334.32,0,2,21,0
174131.17,13991.16,0,3,21,1
24008.71,15438.67,0,4,22,0
16129.91,11551.78,0,3,11,0
23982.9,17800.25,0,1,8,0
2780.25,7402.57,0,14,13,0
3492.05,3470.9,0,10,18,0
10580.41,13347.1,0,6,8,0
10279.16,10209.04,0,11,16,0
14160.79,16961.35,0,2,1,0
3897.94,11037.65,0,2,9,0
76614.23,15893.16,1,2,10,1
12393.88,16401.08,0,3,14,0
9945.15,3513.25,1,3,22,1
5875.62,2076.11,0,10,10,0
7693.83,1687.12,1,5,20,1
22417.96,17285.21,0,3,8,0
4793.5,3949.24,0,2,19,0
6723.82,8777.19,0,4,18,0
112959.98,8054.14,1,2,10,1
13225.72,11608.21,1,2,14,0
5289.5,4155.8,0,6,20,0
23382.94,3417.52,1,2,8,0
3099.31,14896.04,0,3,10,0
5554.93,4938.22,1,1,17,0
61232.59,7927.51,1,4,0,1
4261.39,5911.81,1,3,9,0
13787.44,10810.89,0,1,11,0
3200.94,6673.22,1,2,5,0
10704.27,3685.45,0,2,8,0
30754.84,9114.61,0,3,4,0
5002.31,4595.36,0,2,19,0
7079.19,7925.84,1,5,20,0
6318.95,17574.64,1,4,10,0
348.45,1742.27,1,3,22,0
12726.77,11895.2,1,3,19,0
19399.82,10167.17,0,2,7,0
5021.11,3843.7,0,5,18,0
5113.08,6197.77,0,2,8,0
13232.83,11879.52,0,8,2,0
90984.87,8481.71,0,6,20,0
4494.4,14163.02,0,1,0,0
78597.4,12632.92,0,13,17,1
3092.57,3287.32,0,4,14,0
7833.12,7431.59,0,4,22,0
75346.3,15486.5,1,2,9,1
3065.07,2222.76,0,4,14,0
4663.91,4952.14,1,8,15,0
8395.96,9374.14,0,3,17,0
5957.66,2245.36,0,2,22,0
3279.9,4769.83,0,3,19,0
45339.19,13567.63,0,1,20,0
10226.1,11868.59,0,7,7,0
3934.26,12489.86,1,5,9,0
2139.67,3302.17,0,9,20,0
10330.03,11353.11,0,5,8,0
5989.29,7812.59,0,2,23,0
2816.74,12047.01,0,1,17,0
63372.34,10971.92,1,2,11,0
9802.03,2193.17,0,5,20,1
5456.37,4187.13,0,6,18,0
147339.91,10663.87,0,3,13,0
8507.11,8836.81,1,2,1,0
9455.12,13441.8,0,4,12,0
1308.95,9464.34,0,10,14,0
12956.17,13189.92,0,1,12,0
13317.35,12925.52,0,2,1,0
15446.1,15007.92,0,1,18,0
11350.99,8379.06,0,4,7,0
19712.06,11972.26,1,7,13,1
9190.56,11566.0,0,3,8,0
1521.42,1557.67,1,1,7,0
1854.86,5235.56,0,10,9,0
33692.93,8398.16,1,2,16,0
2420.93,5847.57,0,4,15,0
4387.8,5426.78,1,2,22,0
2695.15,6902.37,1,1,15,0
6879.56,12742.65,0,3,6,0
31729.34,16977.77,0,1,14,0
7283.12,12486.59,0,5,0,0
8675.37,7973.09,0,1,22,0
1935.09,10754.22,1,15,20,0
15196.03,10759.41,1,1,22,0
10436.39,7684.25,0,3,20,0
2775.25,2550.45,0,5,18,0
2566.92,7005.48,1,1,13,0
3906.95,14861.19,0,4,22,0
2282.67,9254.43,0,12,13,0
4466.59,4380.11,0,4,14,0
14823.64,12233.99,0,5,15,0
182955.61,15551.78,0,2,22,0
20087.0,3806.5,1,6,10,0
8964.84,13618.16,1,2,5,0
11992.79,13426.67,0,3,17,0
940.06,8360.82,0,2,18,0
7365.1,8784.27,0,1,7,0
16690.32,14028.93,0,2,13,0
5824.42,10791.74,1,9,7,0
8274.56,10206.74,0,7,19,0
9271.57,10471.5,0,3,13,0
4342.52,17079.98,1,6,15,0
1882.18,11253.87,0,3,22,0
29285.45,16424.35,1,5,3,0
21817.07,4541.12,0,4,18,0
16505.97,7924.01,1,8,18,0
1861.05,5481.69,0,5,16,0
11363.06,13106.2,1,4,23,0
130051.91,9764.33,0,2,11,0
4009.8,9760.01,0,3,21,0
8313.29,7295.18,0,2,10,0
1214.42,3615.15,0,1,12,0
6354.68,4827.85,0,6,11,0
6752.58,7275.71,1,2,11,0
4900.49,9119.52,0,7,16,0
348.55,6003.41,0,2,10,0
3056.27,3769.64,0,14,21,0
117372.09,10606.51,0,5,8,1
1250.26,9880.19,0,6,12,0
3235.66,14320.61,1,10,23,0
7183.41,5757.87,0,1,0,0
37332.93,17706.81,0,2,12,0
5901.02,7336.13,0,6,17,0
1819.68,1589.43,1,5,0,0
2951.08,2832.96,0,2,22,0
19657.65,11922.46,0,5,7,0
12123.25,8134.28,0,9,16,0
9438.1,10780.21,0,6,5,0
12097.25,12946.41,1,4,22,0
113255.64,11589.7,0,7,21,0
108044.42,15206.61,1,10,0,1
11608.56,12062.83,0,4,10,0
2238.25,3826.29,0,4,22,0
15428.39,16119.76,1,11,20,0
58884.49,6511.85,1,7,16,1
3535.99,12943.42,1,10,22,0
18346.44,16596.49,0,1,11,0
3321.29,3326.42,1,3,21,0
4169.14,14497.8,0,4,8,0
5191.97,3943.58,1,4,10,0
4318.04,10291.34,0,4,19,0
11263.88,13622.6,0,3,14,0
6262.43,5847.34,0,8,12,0
29642.7,11238.22,0,1,19,0
13065.93,15572.7,1,3,19,0
3745.6,2948.03,0,2,13,0
4389.0,5215.43,0,6,20,0
10085.28,7059.15,0,4,15,0
5558.85,5271.35,0,6,22,0
5829.69,10560.27,0,1,20,0
48698.99,12736.78,0,3,11,0
8331.26,10060.44,0,5,11,0
1936.87,4888.94,1,5,12,0
18048.99,5049.67,1,5,9,0
22514.41,16479.52,0,7,12,0
69767.49,15474.38,1,2,11,0
3293.68,11640.31,0,1,14,0
3085.33,2987.84,0,13,1,0
61903.12,13176.74,0,7,10,0
21988.15,15649.96,0,6,10,0
32154.84,9778.05,0,5,14,0
41768.0,11692.48,0,4,8,0
9318.65,2488.97,0,1,15,0
2295.92,5748.25,1,3,12,0
1891.9,8301.81,0,2,23,0
1974.15,11533.82,0,8,16,0
14539.72,11162.94,1,4,10,0
1281.66,3813.41,0,1,1,0
21796.66,13584.82,0,2,8,0
13155.73,9665.0,0,1,18,0
775.31,5912.56,1,8,23,1
5672.71,5056.79,1,2,18,0
24134.97,15335.28,1,1,21,0
1281.56,16879.82,1,2,18,1
16533.59,5756.4,0,5,13,0
22967.94,16804.78,1,5,7,1
9086.81,13807.11,0,5,18,0
59622.84,11967.99,1,2,8,0
122061.31,8942.91,1,10,7,1
5432.02,8461.9,0,3,5,0
891.52,10241.62,1,1,12,0
4466.78,10289.92,0,2,17,0
20482.13,13869.16,0,2,8,0
5973.24,4071.8,0,5,12,0
15140.18,9699.21,0,6,14,0
13787.31,15949.81,1,6,10,1
993.63,12533.46,0,3,8,0
5656.98,17760.65,1,3,7,0
26204.62,6052.74,1,5,18,1
16399.72,16478.73,1,3,6,0
737.78,10225.44,1,3,14,0
50830.18,11628.19,0,2,23,0
4676.23,3943.78,0,5,7,0
47592.45,7226.01,1,5,20,0
20015.95,15149.7,0,4,21,0
37637.69,10296.88,0,7,1,0
1647.25,14032.0,0,4,21,0
5391.0,6018.5,0,12,11,0
7922.63,5781.35,0,2,8,0
21561.61,14967.19,1,5,7,0
15313.82,11605.25,0,3,12,0
34689.32,16875.1,0,15,22,0
41275.61,11865.18,1,4,23,1
16880.59,4543.99,0,2,2,0
121435.12,8199.49,1,6,22,1
3694.43,3725.46,1,4,20,0
7037.7,15815.36,1,7,21,0
3029.5,2303.01,1,5,12,0
7585.57,13956.71,0,5,9,0
6574.62,4409.88,0,3,21,0
38048.06,4137.81,0,4,8,0
22703.21,14479.72,0,3,7,0
2321.8,2095.0,0,3,19,0
8882.55,12306.87,0,3,10,0
1475.93,5431.24,0,4,10,0
11600.55,6884.91,1,3,15,0
52420.02,12434.36,0,2,19,0
12220.2,2496.73,0,2,21,0
1359.35,4175.97,1,10,10,0
8836.84,13822.03,0,1,8,0
5201.28,14213.52,0,2,9,0
2941.88,9787.59,0,4,19,0
28934.68,9002.22,0,3,14,0
30254.96,12767.76,1,6,14,0
19470.86,16624.56,0,2,19,0
5876.87,3245.94,0,7,15,0
